year	age	n
1989	84	0
1990	84	0
1991	84	0
1992	84	0
1993	84	0
1994	84	0
1995	84	0
1996	84	0
1997	84	0
1998	84	0
1999	84	0
2000	84	0
2001	84	0
2002	84	0
2003	84	0
2004	84	0
2005	84	0
2006	84	0
2007	84	0
2008	84	0
2009	84	0
2010	84	0
2011	84	0
2012	84	0
2013	84	0
2014	84	0
2015	84	0
2016	84	0
2017	84	0
2018	84	0
2019	84	0
2020	84	0
2021	84	0
2022	84	0
1989	83	0
1990	83	0
1991	83	0
1992	83	0
1993	83	0
1994	83	0
1995	83	0
1996	83	0
1997	83	0
1998	83	0
1999	83	0
2000	83	0
2001	83	0
2002	83	0
2003	83	0
2004	83	0
2005	83	0
2006	83	0
2007	83	0
2008	83	0
2009	83	0
2010	83	0
2011	83	84
2012	83	0
2013	83	0
2014	83	0
2015	83	0
2016	83	0
2017	83	0
2018	83	0
2019	83	0
2020	83	0
2021	83	0
2022	83	0
1989	82	0
1990	82	0
1991	82	0
1992	82	0
1993	82	0
1994	82	0
1995	82	0
1996	82	0
1997	82	0
1998	82	0
1999	82	0
2000	82	0
2001	82	0
2002	82	0
2003	82	0
2004	82	0
2005	82	0
2006	82	0
2007	82	0
2008	82	0
2009	82	0
2010	82	0
2011	82	0
2012	82	0
2013	82	0
2014	82	0
2015	82	0
2016	82	0
2017	82	0
2018	82	0
2019	82	0
2020	82	0
2021	82	0
2022	82	128
1989	81	0
1990	81	0
1991	81	0
1992	81	0
1993	81	0
1994	81	0
1995	81	0
1996	81	98
1997	81	0
1998	81	0
1999	81	0
2000	81	0
2001	81	0
2002	81	0
2003	81	0
2004	81	0
2005	81	0
2006	81	0
2007	81	0
2008	81	0
2009	81	0
2010	81	0
2011	81	0
2012	81	0
2013	81	0
2014	81	0
2015	81	0
2016	81	0
2017	81	54
2018	81	0
2019	81	0
2020	81	0
2021	81	0
2022	81	0
1989	80	0
1990	80	0
1991	80	0
1992	80	0
1993	80	0
1994	80	0
1995	80	0
1996	80	0
1997	80	0
1998	80	0
1999	80	0
2000	80	0
2001	80	0
2002	80	0
2003	80	0
2004	80	0
2005	80	0
2006	80	0
2007	80	0
2008	80	67
2009	80	0
2010	80	0
2011	80	0
2012	80	0
2013	80	0
2014	80	0
2015	80	0
2016	80	0
2017	80	0
2018	80	0
2019	80	0
2020	80	0
2021	80	0
2022	80	0
1989	79	0
1990	79	0
1991	79	0
1992	79	0
1993	79	0
1994	79	0
1995	79	0
1996	79	0
1997	79	0
1998	79	64
1999	79	0
2000	79	0
2001	79	0
2002	79	0
2003	79	0
2004	79	0
2005	79	0
2006	79	0
2007	79	0
2008	79	0
2009	79	0
2010	79	0
2011	79	0
2012	79	0
2013	79	0
2014	79	0
2015	79	0
2016	79	0
2017	79	0
2018	79	0
2019	79	0
2020	79	0
2021	79	47
2022	79	0
1989	78	0
1990	78	0
1991	78	0
1992	78	0
1993	78	0
1994	78	0
1995	78	0
1996	78	0
1997	78	0
1998	78	0
1999	78	0
2000	78	0
2001	78	0
2002	78	0
2003	78	0
2004	78	0
2005	78	0
2006	78	0
2007	78	0
2008	78	0
2009	78	0
2010	78	0
2011	78	0
2012	78	0
2013	78	0
2014	78	0
2015	78	0
2016	78	0
2017	78	0
2018	78	0
2019	78	42
2020	78	42
2021	78	40
2022	78	84
1989	77	0
1990	77	0
1991	77	0
1992	77	0
1993	77	0
1994	77	61
1995	77	0
1996	77	0
1997	77	0
1998	77	0
1999	77	0
2000	77	0
2001	77	0
2002	77	0
2003	77	0
2004	77	0
2005	77	0
2006	77	0
2007	77	0
2008	77	0
2009	77	0
2010	77	0
2011	77	0
2012	77	0
2013	77	0
2014	77	0
2015	77	0
2016	77	0
2017	77	40
2018	77	0
2019	77	0
2020	77	76
2021	77	239
2022	77	39
1989	76	0
1990	76	0
1991	76	0
1992	76	0
1993	76	0
1994	76	0
1995	76	0
1996	76	0
1997	76	0
1998	76	0
1999	76	46
2000	76	0
2001	76	0
2002	76	0
2003	76	0
2004	76	0
2005	76	42
2006	76	0
2007	76	0
2008	76	0
2009	76	0
2010	76	42
2011	76	0
2012	76	0
2013	76	0
2014	76	0
2015	76	0
2016	76	0
2017	76	0
2018	76	0
2019	76	32
2020	76	107
2021	76	76
2022	76	37
1989	75	0
1990	75	0
1991	75	0
1992	75	0
1993	75	0
1994	75	0
1995	75	0
1996	75	0
1997	75	0
1998	75	0
1999	75	0
2000	75	0
2001	75	0
2002	75	0
2003	75	0
2004	75	0
2005	75	78.5
2006	75	0
2007	75	0
2008	75	0
2009	75	0
2010	75	0
2011	75	0
2012	75	0
2013	75	0
2014	75	0
2015	75	0
2016	75	0
2017	75	36
2018	75	0
2019	75	0
2020	75	32
2021	75	71
2022	75	29
1989	74	0
1990	74	0
1991	74	0
1992	74	0
1993	74	0
1994	74	0
1995	74	0
1996	74	0
1997	74	39
1998	74	0
1999	74	0
2000	74	0
2001	74	0
2002	74	0
2003	74	0
2004	74	36
2005	74	0
2006	74	0
2007	74	0
2008	74	0
2009	74	0
2010	74	0
2011	74	0
2012	74	0
2013	74	0
2014	74	32
2015	74	0
2016	74	0
2017	74	0
2018	74	0
2019	74	128
2020	74	103
2021	74	141
2022	74	153
1989	73	0
1990	73	0
1991	73	0
1992	73	0
1993	73	0
1994	73	0
1995	73	0
1996	73	0
1997	73	0
1998	73	0
1999	73	0
2000	73	0
2001	73	0
2002	73	0
2003	73	0
2004	73	0
2005	73	0
2006	73	0
2007	73	0
2008	73	0
2009	73	0
2010	73	0
2011	73	0
2012	73	0
2013	73	0
2014	73	0
2015	73	32
2016	73	0
2017	73	0
2018	73	0
2019	73	64
2020	73	27
2021	73	112
2022	73	141
1989	72	0
1990	72	0
1991	72	0
1992	72	0
1993	72	0
1994	72	0
1995	72	0
1996	72	0
1997	72	37
1998	72	0
1999	72	0
2000	72	0
2001	72	0
2002	72	0
2003	72	0
2004	72	0
2005	72	0
2006	72	0
2007	72	32
2008	72	0
2009	72	32
2010	72	0
2011	72	32
2012	72	0
2013	72	0
2014	72	30
2015	72	0
2016	72	29
2017	72	0
2018	72	0
2019	72	50
2020	72	107
2021	72	128
2022	72	266
1989	71	0
1990	71	0
1991	71	0
1992	71	0
1993	71	0
1994	71	35
1995	71	0
1996	71	0
1997	71	0
1998	71	0
1999	71	0
2000	71	0
2001	71	30
2002	71	0
2003	71	0
2004	71	0
2005	71	0
2006	71	29
2007	71	0
2008	71	30
2009	71	0
2010	71	0
2011	71	0
2012	71	0
2013	71	29
